"Video-Nr","Videotitel","Szenen-Nr","Sprechtext/Inhalt","Caption","Visuell/Setup","Effekte","Sound","Personen-Anzahl","Personen-Rolle","Drehort","Anmerkungen",""
"Video 1 - Azubi Lager - POV: Was machst du nach der Schule?","","","","","","","","","","","",""
"1","Azubi Lager - POV: Was machst du nach der Schule?","Hook A","On-Screen-Text + VO: 'POV: Du bist letztes Schuljahr und alle fragen, was du machst.'","POV: Du bist letztes Schuljahr und alle fragen, was du machst.","Ego-Perspektive aus Sicht der Hauptperson am Familientisch. Drei Köpfe (Mutter, Vater, Tante) drehen sich gleichzeitig zu 'dir'. Schnell, fast simultan.","Caption oben mittig, harte Cuts auf die drei Köpfe.","Leichter Underscore, instrumental 80-100 BPM, gute Stimmung. Kein Trend-Sound zwingend.","4","Azubi-Hauptdarsteller (POV) + 3 Familien-Komparserie","Adelsheim (Familientisch ggf. Pausenraum oder gestelltes Setup)","Variante A ist sicher / brand-safe. Hauptdarsteller spricht selbst. Bei privatem Familien-Setting Cornelia/Niro-To-Do.","Actioncam kopf "
"1","Azubi Lager - POV: Was machst du nach der Schule?","Hook B","Caption + leichte VO: 'Ausbildung im Lager? Klingt langweilig?'","Ausbildung im Lager? Klingt whack?","Junger Mensch (16-18) verdreht die Augen ins Bild, Schulranzen fällt aus dem Frame. Harter Cut auf Hochregal-Establisher (Adelsheim AKL oder Kupferzell-Hochregal).","Harter Cut auf Hochregal-Establisher, Pattern-Interrupt-Sound bei 'Klingt whack?'.","Dezenter Underscore + Pattern-Interrupt-Sound bei der Frage.","1","Azubi-Hauptdarsteller","Adelsheim AKL oder Kupferzell-Hochregal","'Whack' gestrichen (Cornelia-Veto 12.5.). Backup-Wordings 'lame' und 'uninteressant' am Drehtag mit aufnehmen, im Schnitt entscheiden.","Selfieaufnahme "
"1","Azubi Lager - POV: Was machst du nach der Schule?","Hook C","Kein VO. Caption: 'Ausbildung im Lager? Eher so.'","Ausbildung im Lager? Eher so.","Trend-Sound-Drop, Outfit-Switch: Hoodie + Schulrucksack -> harter Match-Cut auf gleichen Frame, jetzt Warnweste + Stapler-Lenkrad in der Hand. Identische Person wie A/B (gleicher Frame nach Match-Cut).","Match-Cut auf Beat-Drop. Cut sitzt auf Beat. Outfit-Switch im selben Frame.","Trend-Sound zentral. Auswahl spätestens 2 Wochen vor Drehtag (Niro-Schnitt). DACH-TikTok-Outfit-Switch-Sounds.","1","Azubi-Hauptdarsteller (gleiche Person wie A/B)","Adelsheim (neutrale Außen-Location auf WLC-Gelände oder Schul-Front-Stand-In)","Visueller Hook ohne Sprech. Trend-Sound-Halbwertszeit gering, kurz vor Live-Gang final fixieren.","Kleidung kommt piece by piece - wird in selber location angezogen"
"1","Azubi Lager - POV: Was machst du nach der Schule?","1.1","Caption-Schnipsel: Mutter ('und, weißt du schon was?') + Lehrer ('machst du Abi?') + Freund ('Lager? Echt?')","","Klischee-Salve: drei Mini-Schnipsel mit Eltern-/Freund-/Lehrer-Fragen, je 0,7-1 Sek.","Harte Cuts zwischen den drei Schnipseln.","Dezenter Underscore-Aufbau, leise Stimm-Schnipsel.","3","B-Roll-Komparserie: Mutter, Lehrer, Freund (keine sprechenden Rollen mit Sprach-Druck)","","Caption + leise Stimm-Schnipsel, keine sprechenden Rollen mit hohem Sprach-Anspruch.",""
"1","Azubi Lager - POV: Was machst du nach der Schule?","1.2","On-screen Caption: 'Spoiler:'","Spoiler:","Realitäts-Switch-Beat: Cut auf echte Lagerhalle, Stapler in Bewegung. Echte Mitarbeiter-Aufnahmen Adelsheim.","Harter Cut von Klischee-Salve auf Realität, Caption-Einblendung.","Underscore-Tempo zieht an.","","B-Roll-Mitarbeiter Adelsheim","Adelsheim Lagerhalle","",""
"1","Azubi Lager - POV: Was machst du nach der Schule?","1.3","Kein Sprech, B-Roll-Salve","","Walk-through-Salve mit Azubi-Hauptdarsteller: Stapler fahren (close auf Hände am Lenkrad + Sicht auf Regalreihe), Gefahrgut-Etikett (close), Scanner-Beep (close), Verladung (mid-shot).","Schnelle Cuts, Match auf Bewegung.","Scanner-Beep prominent, Stapler-Geräusche.","1","Azubi-Hauptdarsteller in WLC-Hoodie","Adelsheim Lagerhalle","Gefahrgut-Etikett-Pflicht-Bestätigung Cornelia (offener Punkt).",""
"1","Azubi Lager - POV: Was machst du nach der Schule?","1.4","O-Ton Azubi: 'Ich entscheide hier täglich, was wohin geht. Mit 17.'","","Punchline-O-Ton: Azubi schaut in Kamera (mid-shot in der Halle).","Statischer Mid-Shot, kein Cut während Punchline.","Underscore tritt zurück, O-Ton prägnant.","1","Azubi-Hauptdarsteller (echter Azubi 1./2. Lehrjahr, keine Schauspielerei)","Adelsheim Lagerhalle","Sprach-Filter Pflicht-Vorab-Check. Briefing am Freitag vor Drehtag.",""
"1","Azubi Lager - POV: Was machst du nach der Schule?","1.5","Sub-Punchline: 'Und meinen Staplerschein? Hatte ich. Auf Firmenkosten.'","","Beweis-Schnipsel: parallel B-Roll Stapler-Bedienung close + Azubi mit Staplerschein-Karte oder Equipment-Detail.","Cut auf Stapler-Bedienung während Sub-Punchline.","Underscore mit klarem Beat.","1","Azubi-Hauptdarsteller","Adelsheim Lagerhalle","O-Ton aus Onboarding 1: Cornelia berichtet, dass Azubis das auf Branchen-Events als Highlight erzählen.",""
"1","Azubi Lager - POV: Was machst du nach der Schule?","1.6","Caption: 'Lager. Aber bei WLC.'","Lager. Aber bei WLC.","Bonus-Schnipsel optional: Alltags-Detail wie Pause mit Kollegen oder Werkzeug-Moment, kurze Stimmungs-Sequenz.","Caption-Einblendung am Ende.","Underscore in Schluss-Tempo.","2","Azubi + Kollege (B-Roll, lockere Stimmung, keine inszenierte Familien-Pose)","Adelsheim Pausenraum","Variante A nutzt das voll, B+C verkürzen. Bei TikTok-Cut (30 Sek) verschmelzen 1.5 und 1.6 zu einem Block.",""
"1","Azubi Lager - POV: Was machst du nach der Schule?","1.7","VO: 'Klick auf den Button, trag dich ein und wir melden uns bei dir.'","BEWIRB DICH JETZT.","CTA-Endcard: schwarzer Hintergrund, weiße harte Typografie. Headline 'BEWIRB DICH JETZT.' Sub: 'Ausbildung Fachkraft Lagerlogistik. Adelsheim + Kupferzell.' Logo WLC + Würth-Anker dezent.","Harter Cut auf Endcard.","Schluss-Beat, Endcard mit Schlag.","","","","Hashtags: #wlc #ausbildung2027 #lagerlogistik #würthgruppe #karriere. Hardlink job_details_192. Auf TikTok zusätzlich CTA-4-Variante 'Schreib JOB in die Kommentare'.",""
"Video 2 - Azubi Lager - Mein erster Tag bei WLC","","","","","","","","","","","",""
"2","Azubi Lager - Mein erster Tag bei WLC","Hook A","Caption + Sprecher: 'Mein erster Tag bei WLC - ehrlich gesagt...'","Mein erster Tag bei WLC - ehrlich gesagt...","Branding-Plakat im Hintergrund mit '#TeamWLC' oder WLC-Wappen-Anker. Azubi vorne, leicht aus dem Off-Center, Kamera in Augenhöhe. Sympathische Mimik (kein Pose-Lächeln, eher erinnernd).","Cliffhanger-Pause vor Auflösung.","Ruhiger, warmer Underscore (instrumental).","1","Azubi (1./2./3. Lehrjahr aus 3er-Casting-Pool)","Adelsheim (Verwaltung oder Lager-Hintergrund mit Plakat)","Lager-Kehren-Switch-Frame statt Kaffee-Klischee.",""
"2","Azubi Lager - Mein erster Tag bei WLC","Hook B","Caption + Sprecher: 'Wer hat dir gesagt, dass Azubis nur das Lager kehren?'","Wer hat dir das gesagt?","Junger Azubi mit Besen im Lager-Kehren-Frame, dreht sich um, im Hintergrund Lager-Action (Stapler, Verladung).","Walking-Shot mit Frontal-Cut, Caption-Einblendung.","Ruhiger Underscore mit leichtem Akzent.","1","Azubi mit Kaffeebecher (B-Roll Lager-Action im Hintergrund)","Adelsheim Lagerhalle","Besen-Requisite mitbringen / im Lager organisieren. Vorschlag der Ausbildungsleitung aus Meeting 12.5.: 'bei uns ist mit anpacken von Tag 1 angesagt'.","Kehren über die Kamera, dann Handy aufheben und reinsprechen"
"2","Azubi Lager - Mein erster Tag bei WLC","Hook C","Kein VO. Caption-Progression: 'Tag 1.' / 'Tag 30.' / 'Tag 365.'","Tag 1. / Tag 30. / Tag 365.","Drei Azubis nacheinander gehen ins Bild, geben dem nächsten ein High-Five. Letzte Person schaut frontal in die Kamera.","Cut auf Beat. Caption-Progression synchron mit Übergaben.","Trend-Underscore. Trend-Sound für High-Five-Sequenz (kann derselbe wie Video 1 Variante C sein).","3","3 Azubis unterschiedlicher Lehrjahre (1./2./3.)","Adelsheim Lagerhalle (drehbar)","High-Five-Mechanik bestätigt im Meeting 12.5.",""
"2","Azubi Lager - Mein erster Tag bei WLC","2.1","Interview-Aussage Azubi 1 (am Drehtag aufgenommen, kein vorab fixierter O-Ton)","","Multi-Voice-Szene 1: Azubi 1 (1. Lehrjahr) im Interview-Setup, WLC-Hoodie, Lager-Hintergrund.","Statischer Interview-Frame, leichter Cut auf Verladung-B-Roll.","Underscore tritt zurück.","1","Lager-Azubi 1. Lehrjahr","Adelsheim Lagerhintergrund","",""
"2","Azubi Lager - Mein erster Tag bei WLC","2.2","Interview-Aussage Azubi 2 (am Drehtag aufgenommen, kein vorab fixierter O-Ton)","","Multi-Voice-Szene 2: Azubi 2 (2. Lehrjahr) frontal, Cut auf Schichtleiterin im Hintergrund.","Cut auf Schichtleiterin als Bezugspersonen-Anker.","Underscore.","2","Lager-Azubi 2. Lehrjahr + Schichtleiterin","Adelsheim Lagerhalle","",""
