"Drehort","Video-Nr","Szenen-Nr","Inhalt","Personen","Dauer","Zeit","Anmerkungen"
"Drehort: Adelsheim - AKL","","","","","","",""
"Adelsheim - AKL","5","5.4-5.5","AKL Cross-Cut-Beats: Förderband + Kästen + automatischer Bereich. Reframe 'Lager = Technik'. Cross-Cut-fähig mit ZDL.","1-2: MA in WLC-Hoodie als B-Roll-Statisten","","","Drehen wenn Hero Video 5 noch nicht im ZDL ist. B-Roll-Material auch für Video 6 verwertbar."
"Adelsheim - AKL","6","6.2, 6.6","Antonymen-Beat LAUT (AKL-Förderband mit Sound, Maschinen-Salve) + Auflösungs-Trio 'ALLES LAGER' Action-Frames.","0 (B-Roll, kein Sprecher)","","","Sound-Recording Pflicht (Audio-Cap mitnehmen). Versalien-Typo in Postproduktion."
"Drehort: Adelsheim - Außen / Eingang / Lagertor","","","","","","",""
"Adelsheim - Außen / Eingang / Lagertor","3","Hook A, 3.1, 3.7","Reporter-Hook A vor Verwaltungs-Eingang ('Schauen wir mal, ob ein Kaufmann bei WLC noch was anderes macht...'). Empfangs-Beat mit Azubi + Reporter-Schluss-Beat vor Würth-Anker.","2: Reporter (Cornelia ODER Lager-Azubi) + Großhandel-Azubi","","","Reporter-Greif-Mikro: Niro bringt mit. Reporter-Rolle vor Ort entscheiden. Caption 'Adelsheim. 7:54 Uhr.' Postproduktion."
"Adelsheim - Außen / Eingang / Lagertor","6","6.3, 6.6, 6.7","Antonymen DRAUSSEN (Lkw fährt vom Hof) + Auflösung 'ALLES HIER' Außen-Boden + Beweis-Card-Outro (Map 12 Standorte + Würth-Anker).","0 (B-Roll)","","","Würth-Anker im Hintergrund mit einbeziehen. Map-Overlay in Postproduktion. Keine 'Deutschland'-Visualisierung (Cross-Konzept-Tabu)."
"Adelsheim - Außen / Eingang / Lagertor","1","Hook C","Outfit-Switch: Privat-Hoodie + Schulrucksack -> Warnweste + Stapler-Lenkrad. Match-Cut auf Beat. Kein Sprech, Trend-Sound.","1: Azubi (mit privatem Outfit-Wechsel)","","","Privat-Hoodie + Schulrucksack"
"Drehort: Adelsheim - Halle 110 oben","","","","","","",""
"Adelsheim - Halle 110 oben","4","4.1, 4.2-4.4","Splash-Frame Vollbild-Typografie (Inhalt offen mit Kunde). Sebastian-Interview: 3 Fragen (Einstieg / Aufstieg / Was anders bei WLC) als Quereinsteigs-Hero.","1: Sebastian (Quereinsteiger mit Führungsfunktion)","","","Interview Sebastian"
"Adelsheim - Halle 110 oben","4","B-Roll","Sebastian in Aktion: Stapler-Bedienung, Halbautomaten-Bereich, Anweisungen geben, Kollegen-Interaktion. Walking-Shots.","2: Sebastian + 1 Kollege (B-Roll)","","","B-Roll-Material auch für Video 6 verwertbar (Aufstiegspfad-Anker)."
"Drehort: Adelsheim - Halle Action","","","","","","",""
"Adelsheim - Halle Action","1","1.3-1.7","Walk-through Azubi-Hauptdarsteller: Stapler-Bedienung (Hände close + Sicht auf Regal), Gefahrgut-Etikett close, Scanner-Beep, Verladung mid-shot. Punchline-O-Ton: 'Ich entscheide hier täglich, was wohin geht. Mit 17.' Sub-Punchline Staplerschein: 'Und meinen Staplerschein? Hatte ich. Auf Firmenkosten.'","1: Azubi-Hauptdarsteller (WLC-Hoodie, 1./2. Lehrjahr)","","",""
"Adelsheim - Halle Action","2","Hook B, 2.1-2.4, Hook C","Hook B Besen-Szene: Azubi mit Besen im Klischee-Frame, dreht sich um ('Wer hat dir gesagt, dass Azubis nur das Lager kehren?'). Multi-Voice 2.1-2.4 Interview-Aussagen (3 Azubis + Schichtleiter + Lagerleiter, final am Drehtag aufgenommen). Hook C High-Five-Mechanik Tag 1 / Tag 30 / Tag 365 mit 3 Azubis.","5: 3 Azubis (alle 3 Lehrjahre) + Schichtleiter + Lagerleiter","","","Besen"
"Adelsheim - Halle Action","6","6.1, 6.3, 6.5","Antonymen-Salve: SCHNELL/GENAU (Stapler-Tracking + Scanner-Beep close + Etiketten-Detail). DRINNEN (Halle, Stapler, Verladung). ALLEIN/TEAM (einzelner MA + Gruppen-Frame 4-5 MA in WLC-Hoodies, Wappen sichtbar).","5: B-Roll-MA + Gruppen-Frame mit Wappen-Hoodies","","","Genug Leute mit WLC Kleidung für Team Szene (müssen nichts sprechen)"
"Drehort: Adelsheim - Pausenraum / Besprechungsraum","","","","","","",""
"Adelsheim - Pausenraum / Besprechungsraum","1","Hook A, 1.2","Hook A Familientisch (Ego-Perspektive): drei Köpfe drehen sich zum POV-Azubi, Klischee-Fragen 'Und, weißt du schon was?' + Klischee-Salve (Mutter/Lehrer/Freund).","4: Komparserie (Eltern + Tante/Freund) + 1: Azubi-Hauptdarsteller","","","Komparserie aus WLC-MA-Pool simulieren (Familienmitglieder-Setting). Familientisch in Besprechungsraum oder Pausenraum gestellt?"
"Adelsheim - Pausenraum / Besprechungsraum","3","3.6","Walking-Tour-Schluss-Beat: Reporter fragt 'Was war dein bisheriges Highlight?' Azubi-O-Ton (drehbar, z.B. 'erste eigene Bestellung' / 'erster Kundenbesuch').","2: Großhandel-Azubi + Reporter","","",""
"Drehort: Adelsheim - Verwaltung","","","","","","",""
"Adelsheim - Verwaltung","3","3.2","Walking-Station 1 Disposition: Speed-Ramp, Bildschirm-close mit Disposition-Tabelle, Reporter fragt 'Was machst du gerade?', Azubi: 'Ich plane Wareneingänge'.","2: Großhandel-Azubi + Reporter","","",""
"Adelsheim - Verwaltung","3","3.3","Walking-Station 2 Telefonat (Skill-Lern-Anker, sofern bleibt): Azubi mit Headset, kurzes Lieferanten-Telefonat, Reporter: 'Telefonieren?' Azubi: 'Hat man als 17-Jähriger nicht mehr drauf - lernst du hier.'","2: Großhandel-Azubi mit Headset + Reporter","","","Telefonieren-Frame final mit reinnehmen? "
"Adelsheim - Verwaltung","3","3.4","Walking-Station 3 Schnittstelle Lager: Azubi geht durch Verwaltungs-Tür ins Lager, übergibt Tablet/Lieferschein, Reporter: 'Du bist hier auch im Lager?' Azubi: 'Mehrmals am Tag. Ich bin die Schnittstelle.'","3: Großhandel-Azubi + Reporter + Lagermitarbeiter","","",""
